,Narrative,document number
981,1.0,98-0447
982,8.0,98-0448
983,-1.0,98-0449
984,1.0,98-0451
985,-1.0,98-0453
986,-1.0,98-0454
987,40.0,98-0455
988,52.0,98-0456
989,20.0,98-0457
990,-1.0,98-0458
991,22.0,98-0459
992,-1.0,98-0461
993,-1.0,98-0462
994,34.0,98-0463
995,-1.0,98-0464
996,2.0,98-0465
997,1.0,98-0466
998,16.0,98-0467
999,36.0,98-0468
1000,13.0,98-0469
1001,0.0,98-0471
1002,42.0,98-0472
1003,78.0,98-0473
1004,-1.0,98-0474
1005,-1.0,98-0475
1006,6.0,98-0476
1007,65.0,98-0477
1008,-1.0,98-0478
1009,17.0,98-0479
1010,0.0,98-0481
1011,1.0,98-0482
1012,14.0,98-0483
1013,32.0,98-0484
1014,2.0,98-0485
1015,-1.0,98-0486
1016,-1.0,98-0487
1017,26.0,98-0488
1018,7.0,98-0489
1019,60.0,98-0491
1020,34.0,98-0492
1021,-1.0,98-0493
1022,-1.0,98-0494
1023,-1.0,98-0495
1024,11.0,98-0496
1025,17.0,98-0497
1026,-1.0,98-0498
1027,-1.0,98-0499
1028,-1.0,98-0501
1029,14.0,98-0502
1030,2.0,98-0503
1031,48.0,98-0504
1032,23.0,98-0505
1033,38.0,98-0506
1034,-1.0,98-0507
1035,22.0,98-0508
1036,7.0,98-0509
1037,10.0,98-0511
1038,14.0,98-0512
1039,-1.0,98-0513
1040,-1.0,98-0514
1041,-1.0,98-0515
1042,-1.0,98-0517
1043,59.0,98-0518
1044,-1.0,98-0519
1045,-1.0,98-0521
1046,37.0,98-0522
1047,0.0,98-0523
1048,4.0,98-0524
1049,0.0,98-0525
1050,-1.0,98-0526
1051,15.0,98-0527
1052,24.0,98-0528
1053,-1.0,98-0529
1054,1.0,98-0531
1055,-1.0,98-0532
1056,4.0,98-0533
1057,-1.0,98-0534
1058,-1.0,98-0535
1059,29.0,98-0536
1060,30.0,98-0537
1061,9.0,98-0538
1062,37.0,98-0539
1063,-1.0,98-0541
1064,1.0,98-0542
1065,-1.0,98-0543
1066,10.0,98-0544
1067,1.0,98-0545
1068,9.0,98-0546
1069,7.0,98-0547
1070,-1.0,98-0548
1071,37.0,98-0549
1072,0.0,98-0551
1073,-1.0,98-0552
1074,7.0,98-0553
1075,0.0,98-0554
1076,0.0,98-0555
1077,43.0,98-0556
1078,-1.0,98-0557
1079,13.0,98-0558
1080,23.0,98-0559
1081,-1.0,98-0561
1082,12.0,98-0562
1083,-1.0,98-0563
1084,-1.0,98-0564
1085,21.0,98-0565
1086,17.0,98-0566
1087,-1.0,98-0567
1088,4.0,98-0568
1089,-1.0,98-0569
1090,4.0,98-0571
1091,-1.0,98-0572
1092,-1.0,98-0573
1093,-1.0,98-0574
1094,12.0,98-0575
1095,0.0,98-0576
1096,1.0,98-0577
1097,6.0,98-0578
1098,-1.0,98-0579
1099,-1.0,98-0581
1100,0.0,98-0582
1101,1.0,98-0583
1102,-1.0,98-0584
1103,32.0,98-0585
1104,-1.0,98-0586
1105,1.0,98-0587
1106,36.0,98-0588
1107,-1.0,98-0589
1108,-1.0,98-0591
1109,-1.0,98-0592
1110,87.0,98-0593
1111,11.0,98-0594
1112,0.0,98-0595
1113,-1.0,98-0596
1114,14.0,98-0597
1115,-1.0,98-0598
1116,-1.0,98-0599
1117,-1.0,98-0601
1118,-1.0,98-0602
1119,-1.0,98-0603
1120,17.0,98-0604
1121,71.0,98-0605
1122,5.0,98-0606
1123,-1.0,98-0607
1124,-1.0,98-0608
1125,0.0,98-0609
1126,-1.0,98-0611
1127,-1.0,98-0612
1128,-1.0,98-0613
1129,-1.0,98-0614
1130,-1.0,98-0615
1131,1.0,98-0616
1132,89.0,98-0617
1133,56.0,98-0618
1134,-1.0,98-0619
1135,-1.0,98-0621
1136,-1.0,98-0622
1137,-1.0,98-0623
1138,7.0,98-0624
1139,21.0,98-0625
1140,-1.0,98-0626
1141,10.0,98-0627
1142,-1.0,98-0628
1143,-1.0,98-0629
1144,6.0,98-0631
1145,-1.0,98-0632
1146,96.0,98-0633
1147,-1.0,98-0634
1148,23.0,98-0635
1149,10.0,98-0636
1150,21.0,98-0637
1151,16.0,98-0638
1152,3.0,98-0639
1153,0.0,98-0641
1154,-1.0,98-0642
1155,36.0,98-0643
1156,23.0,98-0644
1157,11.0,98-0645
1158,1.0,98-0646
1159,-1.0,98-0647
1160,-1.0,98-0648
1161,3.0,98-0649
1162,61.0,98-0651
1163,-1.0,98-0652
1164,34.0,98-0653
1165,50.0,98-0654
1166,11.0,98-0655
1167,23.0,98-0656
1168,1.0,98-0657
1169,-1.0,98-0658
1170,16.0,98-0659
1171,-1.0,98-0661
1172,-1.0,98-0662
1173,50.0,98-0663
1174,89.0,98-0664
1175,89.0,98-0665
1176,37.0,98-0666
1177,33.0,98-0667
1178,75.0,98-0668
1179,33.0,98-0669
1180,38.0,98-0671
1181,2.0,98-0672
1182,-1.0,98-0673
1183,-1.0,98-0674
1184,16.0,98-0675
1185,49.0,98-0676
1186,33.0,98-0677
1187,43.0,98-0678
1188,-1.0,98-0679
1189,-1.0,98-0681
1190,-1.0,98-0682
1191,19.0,98-0683
1192,-1.0,98-0684
1193,4.0,98-0685
1194,5.0,98-0686
1195,27.0,98-0687
1196,5.0,98-0688
1197,5.0,98-0689
1198,12.0,98-0691
1199,-1.0,98-0692
1200,-1.0,98-0693
1201,-1.0,98-0694
1202,-1.0,98-0695
