,COMPLEX_NAME,CPLX_INCIDENT_ID,INCIDENT_NUMBER,INCIDENT_NUMBER_CORRECTED,INCIDENT_NAME,INCIDENT_NAME_CORRECTED,START_YEAR,INC_MGMT_NUM_SITREPS,FOD_LIST
952,KNOWLTON COMPLEX,2008_MT-EAS-011_KNOWLTON COMPLEX,MT-EAS-007,MT-EAS-011,DRGA,KNOWLTON COMPLEX,2008,2,"['{""ID"" : 339774, ""MTBS_ID"" : ""MT4632810509620080821(KNOWLTON COMPLEX (DRGA))"", ""COORDS"" : (46.3347, -105.1006), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2626.1, ""DISC"" : 234, ""CONT"" : 243.0}', '{""ID"" : 339775, ""COORDS"" : (46.3594, -105.1056), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 93.0, ""DISC"" : 234, ""CONT"" : 243.0}', '{""ID"" : 339776, ""COORDS"" : (46.37906, -105.46608), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 18.9, ""DISC"" : 234, ""CONT"" : 234.0}', '{""ID"" : 339778, ""MTBS_ID"" : ""MT4632810509620080821(KNOWLTON COMPLEX (DRGA))"", ""COORDS"" : (46.3331, -105.1336), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 4261.0, ""DISC"" : 235, ""CONT"" : 243.0}']"
953,KNOWLTON COMPLEX,2008_MT-EAS-011_KNOWLTON COMPLEX,MT-EAS-011,MT-EAS-011,KNOWLTON COMPLEX,KNOWLTON COMPLEX,2008,4,"['{""ID"" : 339774, ""MTBS_ID"" : ""MT4632810509620080821(KNOWLTON COMPLEX (DRGA))"", ""COORDS"" : (46.3347, -105.1006), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2626.1, ""DISC"" : 234, ""CONT"" : 243.0}', '{""ID"" : 339775, ""COORDS"" : (46.3594, -105.1056), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 93.0, ""DISC"" : 234, ""CONT"" : 243.0}', '{""ID"" : 339776, ""COORDS"" : (46.37906, -105.46608), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 18.9, ""DISC"" : 234, ""CONT"" : 234.0}', '{""ID"" : 339778, ""MTBS_ID"" : ""MT4632810509620080821(KNOWLTON COMPLEX (DRGA))"", ""COORDS"" : (46.3331, -105.1336), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 4261.0, ""DISC"" : 235, ""CONT"" : 243.0}']"
954,KOOTENAI COMPLEX,2000_MT-KNF-1010_KOOTENAI COMPLEX,MT-KNF-,MT-KNF-1010,TROY SOUTH,KOOTENAI COMPLEX,2000,2,"['{""ID"" : 134071, ""COORDS"" : (48.90166667, -115.58527778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 454.0, ""DISC"" : 225, ""CONT"" : 256.0}', '{""ID"" : 134231, ""COORDS"" : (48.75833333, -115.79972222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 23.0, ""DISC"" : 227, ""CONT"" : 246.0}', '{""ID"" : 134250, ""COORDS"" : (48.72833333, -115.73666667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 90.0, ""DISC"" : 231, ""CONT"" : 237.0}', '{""ID"" : 134261, ""MTBS_ID"" : ""MT4835611580920000810(TROY SOUTH (TAYLOR PEAK))"", ""COORDS"" : (48.36638889, -115.81138889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1311.0, ""DISC"" : 223, ""CONT"" : 264.0}', '{""ID"" : 134278, ""COORDS"" : (48.86333333, -115.84777778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 224, ""CONT"" : 233.0}', '{""ID"" : 134283, ""COORDS"" : (48.80861111, -115.73833333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 9.0, ""DISC"" : 227, ""CONT"" : 229.0}', '{""ID"" : 134287, ""MTBS_ID"" : ""MT4876911561420000811(KELSEY CREEK)"", ""COORDS"" : (48.75194444, -115.61833333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2768.0, ""DISC"" : 224, ""CONT"" : 250.0}', '{""ID"" : 134295, ""COORDS"" : (48.85694444, -115.59472222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3.0, ""DISC"" : 224, ""CONT"" : 225.0}', '{""ID"" : 134296, ""COORDS"" : (48.88194444, -115.86972222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 46.0, ""DISC"" : 224, ""CONT"" : 229.0}', '{""ID"" : 134297, ""COORDS"" : (48.76777778, -115.8525), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 423.0, ""DISC"" : 224, ""CONT"" : 250.0}', '{""ID"" : 134299, ""COORDS"" : (48.77361111, -115.78138889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 20.0, ""DISC"" : 228, ""CONT"" : 247.0}', '{""ID"" : 134301, ""COORDS"" : (48.79666667, -115.69), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 317.0, ""DISC"" : 224, ""CONT"" : 238.0}', '{""ID"" : 134304, ""COORDS"" : (48.88194444, -115.86972222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 423.0, ""DISC"" : 224, ""CONT"" : 264.0}', '{""ID"" : 134306, ""MTBS_ID"" : ""MT4885611559220000811(KOOTENAI COMPLEX (UPPER BEAVER))"", ""COORDS"" : (48.82444444, -115.59583333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 9423.0, ""DISC"" : 224, ""CONT"" : 269.0}']"
955,KOOTENAI COMPLEX,2000_MT-KNF-1010_KOOTENAI COMPLEX,MT-KNF-1010,MT-KNF-1010,KOOTENAI COMPLEX,KOOTENAI COMPLEX,2000,30,"['{""ID"" : 134071, ""COORDS"" : (48.90166667, -115.58527778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 454.0, ""DISC"" : 225, ""CONT"" : 256.0}', '{""ID"" : 134231, ""COORDS"" : (48.75833333, -115.79972222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 23.0, ""DISC"" : 227, ""CONT"" : 246.0}', '{""ID"" : 134250, ""COORDS"" : (48.72833333, -115.73666667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 90.0, ""DISC"" : 231, ""CONT"" : 237.0}', '{""ID"" : 134261, ""MTBS_ID"" : ""MT4835611580920000810(TROY SOUTH (TAYLOR PEAK))"", ""COORDS"" : (48.36638889, -115.81138889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1311.0, ""DISC"" : 223, ""CONT"" : 264.0}', '{""ID"" : 134278, ""COORDS"" : (48.86333333, -115.84777778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 224, ""CONT"" : 233.0}', '{""ID"" : 134283, ""COORDS"" : (48.80861111, -115.73833333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 9.0, ""DISC"" : 227, ""CONT"" : 229.0}', '{""ID"" : 134287, ""MTBS_ID"" : ""MT4876911561420000811(KELSEY CREEK)"", ""COORDS"" : (48.75194444, -115.61833333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2768.0, ""DISC"" : 224, ""CONT"" : 250.0}', '{""ID"" : 134295, ""COORDS"" : (48.85694444, -115.59472222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3.0, ""DISC"" : 224, ""CONT"" : 225.0}', '{""ID"" : 134296, ""COORDS"" : (48.88194444, -115.86972222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 46.0, ""DISC"" : 224, ""CONT"" : 229.0}', '{""ID"" : 134297, ""COORDS"" : (48.76777778, -115.8525), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 423.0, ""DISC"" : 224, ""CONT"" : 250.0}', '{""ID"" : 134299, ""COORDS"" : (48.77361111, -115.78138889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 20.0, ""DISC"" : 228, ""CONT"" : 247.0}', '{""ID"" : 134301, ""COORDS"" : (48.79666667, -115.69), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 317.0, ""DISC"" : 224, ""CONT"" : 238.0}', '{""ID"" : 134304, ""COORDS"" : (48.88194444, -115.86972222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 423.0, ""DISC"" : 224, ""CONT"" : 264.0}', '{""ID"" : 134306, ""MTBS_ID"" : ""MT4885611559220000811(KOOTENAI COMPLEX (UPPER BEAVER))"", ""COORDS"" : (48.82444444, -115.59583333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 9423.0, ""DISC"" : 224, ""CONT"" : 269.0}']"
956,KOOTENAI COMPLEX,2000_MT-KNF-1010_KOOTENAI COMPLEX,MT-KNF-1011,MT-KNF-1010,TROY SOUTH,KOOTENAI COMPLEX,2000,19,"['{""ID"" : 134071, ""COORDS"" : (48.90166667, -115.58527778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 454.0, ""DISC"" : 225, ""CONT"" : 256.0}', '{""ID"" : 134231, ""COORDS"" : (48.75833333, -115.79972222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 23.0, ""DISC"" : 227, ""CONT"" : 246.0}', '{""ID"" : 134250, ""COORDS"" : (48.72833333, -115.73666667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 90.0, ""DISC"" : 231, ""CONT"" : 237.0}', '{""ID"" : 134261, ""MTBS_ID"" : ""MT4835611580920000810(TROY SOUTH (TAYLOR PEAK))"", ""COORDS"" : (48.36638889, -115.81138889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1311.0, ""DISC"" : 223, ""CONT"" : 264.0}', '{""ID"" : 134278, ""COORDS"" : (48.86333333, -115.84777778), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 224, ""CONT"" : 233.0}', '{""ID"" : 134283, ""COORDS"" : (48.80861111, -115.73833333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 9.0, ""DISC"" : 227, ""CONT"" : 229.0}', '{""ID"" : 134287, ""MTBS_ID"" : ""MT4876911561420000811(KELSEY CREEK)"", ""COORDS"" : (48.75194444, -115.61833333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2768.0, ""DISC"" : 224, ""CONT"" : 250.0}', '{""ID"" : 134295, ""COORDS"" : (48.85694444, -115.59472222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3.0, ""DISC"" : 224, ""CONT"" : 225.0}', '{""ID"" : 134296, ""COORDS"" : (48.88194444, -115.86972222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 46.0, ""DISC"" : 224, ""CONT"" : 229.0}', '{""ID"" : 134297, ""COORDS"" : (48.76777778, -115.8525), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 423.0, ""DISC"" : 224, ""CONT"" : 250.0}', '{""ID"" : 134299, ""COORDS"" : (48.77361111, -115.78138889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 20.0, ""DISC"" : 228, ""CONT"" : 247.0}', '{""ID"" : 134301, ""COORDS"" : (48.79666667, -115.69), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 317.0, ""DISC"" : 224, ""CONT"" : 238.0}', '{""ID"" : 134304, ""COORDS"" : (48.88194444, -115.86972222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 423.0, ""DISC"" : 224, ""CONT"" : 264.0}', '{""ID"" : 134306, ""MTBS_ID"" : ""MT4885611559220000811(KOOTENAI COMPLEX (UPPER BEAVER))"", ""COORDS"" : (48.82444444, -115.59583333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 9423.0, ""DISC"" : 224, ""CONT"" : 269.0}']"
957,KRAFT COMPLEX,2002_SD-SRA-204_KRAFT COMPLEX,SD-SRA-204,SD-SRA-204,KRAFT COMPLEX,KRAFT COMPLEX,2002,15,"['{""ID"" : 261269, ""MTBS_ID"" : ""ND4612610116620020705(TENBROOK)"", ""COORDS"" : (46.1219, -101.1662), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 10420.7, ""DISC"" : 180, ""CONT"" : 195.0}', '{""ID"" : 261291, ""COORDS"" : (46.0892, -100.6535), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3200.0, ""DISC"" : 185, ""CONT"" : 191.0}', '{""ID"" : 261293, ""MTBS_ID"" : ""ND4612610116620020705(TENBROOK)"", ""COORDS"" : (46.0522, -101.2601), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 15732.2, ""DISC"" : 186, ""CONT"" : 199.0}']"
958,KRAFT SPRING COMPLEX,2002_MT-CNF-240_KRAFT SPRING COMPLEX,MT-CNF-240,MT-CNF-240,KRAFT SPRING,KRAFT SPRING COMPLEX,2002,7,"['{""ID"" : 153783, ""MTBS_ID"" : ""MT4566710414620020830(KRAFT SPRINGS)"", ""COORDS"" : (45.66138889, -104.11888889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 69900.0, ""DISC"" : 242, ""CONT"" : 252.0}']"
959,KRAFT SPRING COMPLEX,2002_MT-CNF-240_KRAFT SPRING COMPLEX,MT-CNF-240,MT-CNF-240,KRAFT SPRING COMPLEX,KRAFT SPRING COMPLEX,2002,4,"['{""ID"" : 153783, ""MTBS_ID"" : ""MT4566710414620020830(KRAFT SPRINGS)"", ""COORDS"" : (45.66138889, -104.11888889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 69900.0, ""DISC"" : 242, ""CONT"" : 252.0}']"
960,KRASSEL COMPLEX,2007_ID-PAF-007078_KRASSEL COMPLEX,ID-PAF-00007019,ID-PAF-007078,TAG WFU,KRASSEL COMPLEX,2007,7,"['{""ID"" : 23915, ""COORDS"" : (45.29361111, -114.9875), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3.0, ""DISC"" : 232, ""CONT"" : 275.0}', '{""ID"" : 23920, ""MTBS_ID"" : ""ID4502211507320070713(KRASSEL COMPLEX (GOAT WFU))"", ""COORDS"" : (45.04305556, -115.285), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 25907.0, ""DISC"" : 195, ""CONT"" : 268.0}', '{""ID"" : 23925, ""MTBS_ID"" : ""ID4492211500820070718(KRASSEL COMPLEX (COTTONWOOD WFU))"", ""COORDS"" : (44.91916667, -115.04972222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 14637.0, ""DISC"" : 202, ""CONT"" : 268.0}', '{""ID"" : 23938, ""COORDS"" : (45.04444444, -114.96638889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 17.0, ""DISC"" : 207, ""CONT"" : 268.0}', '{""ID"" : 23958, ""MTBS_ID"" : ""ID4537411488820070616(KRASSEL COMPLEX (TAG WFU))"", ""COORDS"" : (45.405, -114.875), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 47187.0, ""DISC"" : 168, ""CONT"" : 268.0}', '{""ID"" : 23967, ""COORDS"" : (44.87805556, -115.85194444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2.0, ""DISC"" : 188, ""CONT"" : 262.0}', '{""ID"" : 23987, ""COORDS"" : (45.34055556, -115.10416667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.2, ""DISC"" : 188, ""CONT"" : 192.0}']"
961,KRASSEL COMPLEX,2007_ID-PAF-007078_KRASSEL COMPLEX,ID-PAF-007041,ID-PAF-007078,MCCALLA,KRASSEL COMPLEX,2007,1,"['{""ID"" : 23915, ""COORDS"" : (45.29361111, -114.9875), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3.0, ""DISC"" : 232, ""CONT"" : 275.0}', '{""ID"" : 23920, ""MTBS_ID"" : ""ID4502211507320070713(KRASSEL COMPLEX (GOAT WFU))"", ""COORDS"" : (45.04305556, -115.285), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 25907.0, ""DISC"" : 195, ""CONT"" : 268.0}', '{""ID"" : 23925, ""MTBS_ID"" : ""ID4492211500820070718(KRASSEL COMPLEX (COTTONWOOD WFU))"", ""COORDS"" : (44.91916667, -115.04972222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 14637.0, ""DISC"" : 202, ""CONT"" : 268.0}', '{""ID"" : 23938, ""COORDS"" : (45.04444444, -114.96638889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 17.0, ""DISC"" : 207, ""CONT"" : 268.0}', '{""ID"" : 23958, ""MTBS_ID"" : ""ID4537411488820070616(KRASSEL COMPLEX (TAG WFU))"", ""COORDS"" : (45.405, -114.875), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 47187.0, ""DISC"" : 168, ""CONT"" : 268.0}', '{""ID"" : 23967, ""COORDS"" : (44.87805556, -115.85194444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2.0, ""DISC"" : 188, ""CONT"" : 262.0}', '{""ID"" : 23987, ""COORDS"" : (45.34055556, -115.10416667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.2, ""DISC"" : 188, ""CONT"" : 192.0}']"
962,KRASSEL COMPLEX,2007_ID-PAF-007078_KRASSEL COMPLEX,ID-PAF-007060,ID-PAF-007078,BUCKHORN WFU,KRASSEL COMPLEX,2007,1,"['{""ID"" : 23915, ""COORDS"" : (45.29361111, -114.9875), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3.0, ""DISC"" : 232, ""CONT"" : 275.0}', '{""ID"" : 23920, ""MTBS_ID"" : ""ID4502211507320070713(KRASSEL COMPLEX (GOAT WFU))"", ""COORDS"" : (45.04305556, -115.285), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 25907.0, ""DISC"" : 195, ""CONT"" : 268.0}', '{""ID"" : 23925, ""MTBS_ID"" : ""ID4492211500820070718(KRASSEL COMPLEX (COTTONWOOD WFU))"", ""COORDS"" : (44.91916667, -115.04972222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 14637.0, ""DISC"" : 202, ""CONT"" : 268.0}', '{""ID"" : 23938, ""COORDS"" : (45.04444444, -114.96638889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 17.0, ""DISC"" : 207, ""CONT"" : 268.0}', '{""ID"" : 23958, ""MTBS_ID"" : ""ID4537411488820070616(KRASSEL COMPLEX (TAG WFU))"", ""COORDS"" : (45.405, -114.875), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 47187.0, ""DISC"" : 168, ""CONT"" : 268.0}', '{""ID"" : 23967, ""COORDS"" : (44.87805556, -115.85194444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2.0, ""DISC"" : 188, ""CONT"" : 262.0}', '{""ID"" : 23987, ""COORDS"" : (45.34055556, -115.10416667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.2, ""DISC"" : 188, ""CONT"" : 192.0}']"
963,KRASSEL COMPLEX,2007_ID-PAF-007078_KRASSEL COMPLEX,ID-PAF-007078,ID-PAF-007078,KRASSEL COMPLEX,KRASSEL COMPLEX,2007,57,"['{""ID"" : 23915, ""COORDS"" : (45.29361111, -114.9875), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3.0, ""DISC"" : 232, ""CONT"" : 275.0}', '{""ID"" : 23920, ""MTBS_ID"" : ""ID4502211507320070713(KRASSEL COMPLEX (GOAT WFU))"", ""COORDS"" : (45.04305556, -115.285), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 25907.0, ""DISC"" : 195, ""CONT"" : 268.0}', '{""ID"" : 23925, ""MTBS_ID"" : ""ID4492211500820070718(KRASSEL COMPLEX (COTTONWOOD WFU))"", ""COORDS"" : (44.91916667, -115.04972222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 14637.0, ""DISC"" : 202, ""CONT"" : 268.0}', '{""ID"" : 23938, ""COORDS"" : (45.04444444, -114.96638889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 17.0, ""DISC"" : 207, ""CONT"" : 268.0}', '{""ID"" : 23958, ""MTBS_ID"" : ""ID4537411488820070616(KRASSEL COMPLEX (TAG WFU))"", ""COORDS"" : (45.405, -114.875), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 47187.0, ""DISC"" : 168, ""CONT"" : 268.0}', '{""ID"" : 23967, ""COORDS"" : (44.87805556, -115.85194444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2.0, ""DISC"" : 188, ""CONT"" : 262.0}', '{""ID"" : 23987, ""COORDS"" : (45.34055556, -115.10416667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.2, ""DISC"" : 188, ""CONT"" : 192.0}']"
964,KRASSEL COMPLEX,2007_ID-PAF-007078_KRASSEL COMPLEX,ID-PAF-007078,ID-PAF-007078,KRASSEL WFU COMPLEX,KRASSEL COMPLEX,2007,10,"['{""ID"" : 23915, ""COORDS"" : (45.29361111, -114.9875), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3.0, ""DISC"" : 232, ""CONT"" : 275.0}', '{""ID"" : 23920, ""MTBS_ID"" : ""ID4502211507320070713(KRASSEL COMPLEX (GOAT WFU))"", ""COORDS"" : (45.04305556, -115.285), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 25907.0, ""DISC"" : 195, ""CONT"" : 268.0}', '{""ID"" : 23925, ""MTBS_ID"" : ""ID4492211500820070718(KRASSEL COMPLEX (COTTONWOOD WFU))"", ""COORDS"" : (44.91916667, -115.04972222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 14637.0, ""DISC"" : 202, ""CONT"" : 268.0}', '{""ID"" : 23938, ""COORDS"" : (45.04444444, -114.96638889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 17.0, ""DISC"" : 207, ""CONT"" : 268.0}', '{""ID"" : 23958, ""MTBS_ID"" : ""ID4537411488820070616(KRASSEL COMPLEX (TAG WFU))"", ""COORDS"" : (45.405, -114.875), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 47187.0, ""DISC"" : 168, ""CONT"" : 268.0}', '{""ID"" : 23967, ""COORDS"" : (44.87805556, -115.85194444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2.0, ""DISC"" : 188, ""CONT"" : 262.0}', '{""ID"" : 23987, ""COORDS"" : (45.34055556, -115.10416667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.2, ""DISC"" : 188, ""CONT"" : 192.0}']"
965,KRASSEL COMPLEX,2007_ID-PAF-007078_KRASSEL COMPLEX,ID-PAF-007090,ID-PAF-007078,GOAT WFU,KRASSEL COMPLEX,2007,3,"['{""ID"" : 23915, ""COORDS"" : (45.29361111, -114.9875), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3.0, ""DISC"" : 232, ""CONT"" : 275.0}', '{""ID"" : 23920, ""MTBS_ID"" : ""ID4502211507320070713(KRASSEL COMPLEX (GOAT WFU))"", ""COORDS"" : (45.04305556, -115.285), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 25907.0, ""DISC"" : 195, ""CONT"" : 268.0}', '{""ID"" : 23925, ""MTBS_ID"" : ""ID4492211500820070718(KRASSEL COMPLEX (COTTONWOOD WFU))"", ""COORDS"" : (44.91916667, -115.04972222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 14637.0, ""DISC"" : 202, ""CONT"" : 268.0}', '{""ID"" : 23938, ""COORDS"" : (45.04444444, -114.96638889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 17.0, ""DISC"" : 207, ""CONT"" : 268.0}', '{""ID"" : 23958, ""MTBS_ID"" : ""ID4537411488820070616(KRASSEL COMPLEX (TAG WFU))"", ""COORDS"" : (45.405, -114.875), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 47187.0, ""DISC"" : 168, ""CONT"" : 268.0}', '{""ID"" : 23967, ""COORDS"" : (44.87805556, -115.85194444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2.0, ""DISC"" : 188, ""CONT"" : 262.0}', '{""ID"" : 23987, ""COORDS"" : (45.34055556, -115.10416667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.2, ""DISC"" : 188, ""CONT"" : 192.0}']"
966,KY RIVER DISTRICT COMPLEX,2006_KY-KYS-06-2011_KY RIVER DISTRICT COMPLEX,KY-KYS-06-2011,KY-KYS-06-2011,KY RIVER DISTRICT COMPLEX,KY RIVER DISTRICT COMPLEX,2006,5,
967,LAKE CHELAN COMPLEX,1999_WA-SES-347_UNION VALLEY,WA-SES-347,WA-SES-347,UNION VALLEY,UNION VALLEY,1999,2,"['{""ID"" : 868842, ""COORDS"" : (47.87873, -120.03598), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 168.0, ""DISC"" : 215, ""CONT"" : ""unknown""}']"
968,LAKE COMPLEX,2012_CA-MDF-000429_LAKE COMPLEX,CA-MDF-000429,CA-MDF-000429,LAKE COMPLEX,LAKE COMPLEX,2012,6,"['{""ID"" : 201434280, ""COORDS"" : (41.7575, -120.96333333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 218, ""CONT"" : 222.0}', '{""ID"" : 201434281, ""COORDS"" : (41.75444444, -120.95694444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 218, ""CONT"" : 222.0}', '{""ID"" : 201434283, ""COORDS"" : (41.89972222, -120.71222222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.0, ""DISC"" : 218, ""CONT"" : 221.0}', '{""ID"" : 201434284, ""COORDS"" : (41.76611111, -120.95055556), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.2, ""DISC"" : 218, ""CONT"" : 222.0}', '{""ID"" : 201434286, ""COORDS"" : (41.77722222, -120.32694444), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 218, ""CONT"" : 218.0}', '{""ID"" : 201434296, ""COORDS"" : (41.75527778, -120.93722222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 218, ""CONT"" : 222.0}', '{""ID"" : 201434299, ""COORDS"" : (41.75472222, -120.94972222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 218, ""CONT"" : 222.0}', '{""ID"" : 201434304, ""MTBS_ID"" : ""CA4175212099720120805(LAKE COMPLEX)"", ""COORDS"" : (41.75138889, -120.99638889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1667.0, ""DISC"" : 218, ""CONT"" : 222.0}', '{""ID"" : 201434311, ""COORDS"" : (41.74666667, -120.98722222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.25, ""DISC"" : 218, ""CONT"" : 222.0}', '{""ID"" : 201434313, ""COORDS"" : (41.79805556, -120.96222222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 220, ""CONT"" : 222.0}', '{""ID"" : 201434317, ""COORDS"" : (41.76138889, -120.96805556), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.25, ""DISC"" : 218, ""CONT"" : 222.0}', '{""ID"" : 201434318, ""COORDS"" : (41.74527778, -120.96416667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.25, ""DISC"" : 218, ""CONT"" : 222.0}', '{""ID"" : 201501601, ""COORDS"" : (41.5472, -120.0192), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 39.0, ""DISC"" : 221, ""CONT"" : 221.0}']"
